topk_requested,topk,topk_clamped,batch_size,s_q,s_kv,num_tiles,num_waves,wave_fill,k_tiles,d_qk,d_v,h_q,fwd_flop,fwd_mem_vol_bytes,latency_us,latency_us_min,latency_us_max,latency_spread_frac,tflops,mem_bw_tbps,roofline_pred_us,roofline_rel_err,roofline_bound
2048,2048,False,256,256,8192,256,4,0.8648648648648649,16,576,512,128,146028888064,675282944,128.16430000000008,127.91686666666682,128.24013333333363,0.0025222832463238174,1139.388176457874,5.268884892282793,84.410368,0.3413893884646508,memory
2048,2048,False,256,256,16384,256,4,0.8648648648648649,16,576,512,128,146028888064,675282944,128.05120000000068,128.01379999999978,128.16526666666695,0.0011828601892616994,1140.3945301879187,5.273538584566145,84.410368,0.34080767692923175,memory
2048,2048,False,256,256,32768,256,4,0.8648648648648649,16,576,512,128,146028888064,675282944,128.14940000000016,127.95626666666662,128.16649999999984,0.0016405331069301273,1139.520653736965,5.2694975083769355,84.410368,0.34131281145288306,memory
2048,2048,False,256,256,65536,256,4,0.8648648648648649,16,576,512,128,146028888064,675282944,128.04166666666623,127.98716666666648,128.04916666666614,0.00048421737715333846,1140.479438182887,5.273931225512547,84.410368,0.3407585968109316,memory
2048,2048,False,256,256,131072,256,4,0.8648648648648649,16,576,512,128,146028888064,675282944,128.33073333333306,128.32753333333318,128.438433333333,0.000864173352082278,1137.9104932307741,5.262051625981005,84.410368,0.34224354675237434,memory
2048,2048,False,296,296,4096,296,4,1.0,16,576,512,128,168845901824,780795904,129.3569666666665,129.32710000000029,129.36746666666602,0.00031205637938118023,1305.2710354525443,6.035978765735857,97.599488,0.24550265428301785,memory
2048,2048,False,296,296,8192,296,4,1.0,16,576,512,128,168845901824,780795904,130.24310000000023,130.17936666666625,130.28166666666692,0.0007854542774295004,1296.3903794058936,5.994911853295865,97.599488,0.25063601833801685,memory
2048,2048,False,296,296,16384,296,4,1.0,16,576,512,128,168845901824,780795904,130.19213333333354,130.18563333333333,130.19836666666671,9.780416840394266e-05,1296.8978808550623,5.997258697658118,97.599488,0.2503426627927353,memory
2048,2048,False,296,296,32768,296,4,1.0,16,576,512,128,168845901824,780795904,130.16443333333248,130.1088333333335,130.2239999999999,0.000884778304773053,1297.1738707732075,5.998534960779136,97.599488,0.25018312990260805,memory
2048,2048,False,296,296,65536,296,4,1.0,16,576,512,128,168845901824,780795904,129.89020000000005,129.83136666666664,130.00113333333329,0.0013070013493446972,1299.9125555584635,6.0111994900308074,97.599488,0.248600063746149,memory
2048,2048,False,296,296,131072,296,4,1.0,16,576,512,128,168845901824,780795904,130.3116000000002,130.2967666666666,130.46943333333311,0.0013250291352918922,1295.7089148164841,5.991760549329445,97.599488,0.2510299313338194,memory
